date,amount,direction
2025-10-01,15000,credit
2025-10-02,3200,debit
2025-10-03,8500,credit
2025-10-05,1200,debit
2025-10-08,22000,credit
2025-10-12,4500,debit
2025-10-15,18000,credit
2025-10-18,600,debit
2025-10-22,9500,credit
2025-10-28,3100,debit
2025-11-02,25000,credit
2025-11-04,1800,debit
2025-11-07,7600,credit
2025-11-11,4900,debit
2025-11-14,30000,credit
2025-11-17,2200,debit
2025-11-21,11200,credit
2025-11-25,1500,debit
2025-11-29,6400,credit
2025-12-01,28000,credit
2025-12-03,5400,debit
2025-12-06,9900,credit
2025-12-10,700,debit
2025-12-14,16000,credit
2025-12-18,4200,debit
2025-12-22,13300,credit
2025-12-27,900,debit
2026-01-02,31000,credit
2026-01-05,2100,debit
2026-01-08,8700,credit
2026-01-12,3800,debit
2026-01-16,19500,credit
2026-01-20,1500,debit
2026-01-24,10400,credit
2026-01-28,2600,debit
2026-02-01,27000,credit
2026-02-04,3300,debit
2026-02-08,7200,credit
2026-02-11,1900,debit
2026-02-15,14200,credit
2026-02-19,4100,debit
2026-02-23,8600,credit
2026-02-27,800,debit
2026-03-02,29000,credit
2026-03-05,1750,debit
2026-03-09,6800,credit
2026-03-13,29200,credit
2026-03-17,5200,debit
2026-03-21,9100,credit
2026-03-25,1300,debit
2026-03-29,5000,debit
2026-04-01,32000,credit
2026-04-04,2400,debit
2026-04-07,11800,credit
